BDD_ID,EVENT_ID,EVENT_TYPE,y,label_ts_ms,weather,scene,timeofday,n_car,n_pedestrian,n_truck,n_bus,n_traffic_light,n_traffic_sign,n_tl_red,n_tl_yellow,n_tl_green,total_boxed_objects,min_box_area,max_box_area,mean_box_area,pct_occluded,pct_truncated
03d767c8-2eca52c7,1,2,1,10000,clear,city street,daytime,12,0,0,0,2,6,0,0,0,20,308.7489034204003,40300.30971179473,6377.594913241595,0.65,0.0
02ef72c1-950d6851,2,2,1,10000,clear,highway,night,19,0,0,0,2,3,0,0,2,24,107.66757719286274,55825.64529993408,3861.359779963604,0.6666666666666666,0.0
04200e90-4a4c631e,3,2,1,10000,overcast,highway,daytime,7,0,1,0,0,5,0,0,0,13,146.90513452828543,25701.401910456436,6488.982470548989,0.07692307692307693,0.07692307692307693
04a8e132-4f929465,4,1,0,10000,overcast,city street,daytime,12,0,0,0,11,4,5,0,0,41,122.24854042734455,118584.1280999272,3721.0513732860527,0.4634146341463415,0.024390243902439025
0549f27d-2e4ab1af,5,2,1,10000,clear,highway,night,2,0,0,0,0,2,0,0,0,4,1222.4852486833981,15537.787791684661,5420.958099153039,0.0,0.0
03db1bc2-833ca88c,6,4,3,10000,partly cloudy,city street,daytime,6,0,0,0,7,3,0,0,2,18,168.23060527680184,2060.377260215997,639.8202786081662,0.16666666666666666,0.05555555555555555
04904d8d-0ab5c90a,7,2,1,10000,clear,residential,daytime,7,0,0,0,0,0,0,0,0,7,463.97384056946186,15746.381383790329,5679.353558214162,0.42857142857142855,0.14285714285714285
04bfcebe-f0908883,8,4,3,10000,clear,city street,daytime,8,0,0,1,0,0,0,0,0,9,311.518871302086,63743.87279594214,19711.981633363594,0.7777777777777778,0.2222222222222222
04a45d6d-2abd9c7b,9,3,2,10000,overcast,city street,daytime,15,0,0,0,4,2,0,0,3,21,102.51547481255538,124509.93736224611,9688.269379424199,0.38095238095238093,0.047619047619047616
03b8bba0-3aa073d8,10,1,0,10000,overcast,city street,daytime,12,0,0,0,5,9,0,1,3,26,117.31443187328375,116101.6305129741,7098.805458058786,0.2692307692307692,0.07692307692307693
02ef6aa4-de5825cb,11,1,0,10000,overcast,residential,daytime,3,0,0,0,0,3,0,0,0,6,250.5933939376265,3195.06587606404,1609.3981695945158,0.3333333333333333,0.0
03375ea2-17ddd6fc,12,3,2,10000,undefined,city street,daytime,18,0,0,0,4,7,0,1,1,32,151.35406872849995,32443.23405742026,4112.405088579136,0.40625,0.0625
0386df8d-bf0099c3,13,4,3,10000,clear,residential,daytime,5,0,1,0,0,0,0,0,0,7,1320.048296046151,18177.106077593202,10298.636821725757,0.42857142857142855,0.14285714285714285
0384ec78-864ea363,14,1,0,10000,partly cloudy,highway,daytime,1,0,0,0,0,5,0,0,0,6,452.7159367484158,18391.583932300804,5188.615732582922,0.16666666666666666,0.0
03866c0e-2a861ef2,15,4,3,10000,partly cloudy,city street,daytime,3,0,0,0,1,4,0,0,1,8,74.5959960580116,551.1812876402041,192.36088822676714,0.5,0.0
0341c57c-4e45bd8e,16,4,3,10000,clear,residential,night,11,0,0,0,2,2,0,0,2,15,233.7849341787958,21849.903204992035,2829.0129477998207,0.4,0.0
03112119-0aafd3ad,17,2,1,10000,rainy,residential,daytime,15,0,0,0,0,5,0,0,0,20,143.4091333637007,130056.13857011883,13240.197318906237,0.55,0.1
035f255b-5fce8975,18,1,0,10000,partly cloudy,city street,daytime,9,0,0,0,4,14,0,0,0,27,110.5190600116851,247674.84054822972,13927.414694672721,0.37037037037037035,0.037037037037037035
044aa15f-c7ef9b3a,19,3,2,10000,clear,city street,night,9,0,0,0,2,1,2,0,0,13,297.51949687321604,38947.38029047432,6133.021657631064,0.5384615384615384,0.07692307692307693
049963e5-b1bab2f5,20,2,1,10000,partly cloudy,highway,daytime,2,0,1,0,0,4,0,0,0,7,199.33565568759875,7734.22379775362,1468.3185501288613,0.42857142857142855,0.14285714285714285
04bc4542-61c650d3,21,4,3,10000,clear,residential,night,12,0,0,0,0,4,0,0,0,16,179.08223963952017,129676.79079241659,17524.459161247323,0.5625,0.125
02d5e1be-7ec9c0bd,22,1,0,10000,clear,city street,night,7,0,1,0,9,6,3,0,5,27,156.62087268757807,112186.11163899032,7016.699012125433,0.2222222222222222,0.07407407407407407
